nombre,nombre_corto,apellido,nac_fecha,edad,nac_lugar,prov,prov_grid,prov_corto,puesto,equipo,pais,pais_corto,pj,goles,goles_scaloni,mj,jugo_mundial,m_list,altura,carita
Nehuén Pérez,N. Pérez,Pérez,24/6/2000,22,Hurlingham,GBA,Buenos Aires,GBA,Defensor,Udinese,España,ESP,1,0,0,0,0,,1.84,https://buckets3.glanacion.com/lntools/anexos/fotos/21/48921.png
Marcos Acuña,M. Acuña,Acuña,28/10/1991,31,Zapala,Neuquén,Neuquén,NQN,Defensor,Sevilla,España,ESP,42,0,0,1,1,Rusia 2018,1.72,https://buckets3.glanacion.com/lntools/anexos/fotos/07/48907.png
Nicolás Tagliafico,N. Tagliafico,Tagliafico,31/8/1992,30,Rafael Calzada,GBA,Buenos Aires,GBA,Defensor,Lyon,Francia,FRA,42,0,0,1,1,Rusia 2018,1.72,https://buckets3.glanacion.com/lntools/anexos/fotos/30/48930.png
Marcos Senesi,M. Senesi,Senesi,10/5/1997,25,Concordia,Entre Ríos,Entre Ríos,ER,Defensor,Bournemouth,Inglaterra,ING,1,0,0,0,0,,1.85,https://buckets3.glanacion.com/lntools/anexos/fotos/29/48929.png
Lisandro Martínez,Li. Martínez,L. Martínez,18/1/1998,24,Gualeguay,Entre Ríos,Entre Ríos,ER,Defensor,Man. United,Inglaterra,ING,8,0,0,0,0,,1.75,https://buckets3.glanacion.com/lntools/anexos/fotos/16/49016.png
L. Martínez Quarta,L. M. Quarta,M. Quarta,10/5/1996,26,Mar del Plata,Bs. As. (s/ GBA),Buenos Aires,BA,Defensor,Fiorentina,Italia,ITA,11,0,0,0,0,,1.83,https://buckets3.glanacion.com/lntools/anexos/fotos/15/48915.png
Nicolás Otamendi,N. Otamendi,Otamendi,12/2/1988,34,CABA,CABA,CABA,CABA,Defensor,Benfica,Portugal,POR,91,4,0,2,1,Sudáfrica 2010 - Rusia 2018,1.83,https://buckets3.glanacion.com/lntools/anexos/fotos/22/48922.png
Cristian Romero,C. Romero,C. Romero,27/4/1998,24,Córdoba,Córdoba,Córdoba,COR,Defensor,Tottenham,Inglaterra,ING,12,1,1,0,0,,1.85,https://buckets3.glanacion.com/lntools/anexos/fotos/27/48927.png
Facundo Medina,F. Medina,Medina,28/5/1999,23,CABA,CABA,CABA,CABA,Defensor,Lens,Francia,FRA,2,0,0,0,0,,1.84,https://buckets3.glanacion.com/lntools/anexos/fotos/88/49388.png
Exequiel Palacios,E. Palacios,Palacios,5/10/1998,24,Famaillá,Tucumán,Tucumán,TUC,Mediocampista,Leverkusen,Alemania,ALE,19,0,0,0,0,,1.77,https://buckets3.glanacion.com/lntools/anexos/fotos/17/49017.png
Rodrigo De Paul,R. De Paul,De Paul,24/5/1994,28,Sarandí,Bs. As. (s/ GBA),Buenos Aires,BA,Mediocampista,A. Madrid,España,ESP,43,2,2,0,0,,1.8,https://buckets3.glanacion.com/lntools/anexos/fotos/09/48909.png
Alejandro Gómez,Papu Gómez,Gómez,15/2/1988,34,CABA,CABA,CABA,CABA,Mediocampista,Sevilla,España,ESP,15,3,2,0,0,,1.67,https://buckets3.glanacion.com/lntools/anexos/fotos/11/48911.png
Guido Rodríguez,G. Rodríguez,Rodríguez,12/4/1994,28,Sáenz Peña,GBA,Buenos Aires,GBA,Mediocampista,Real Betis,España,ESP,24,1,1,0,0,,1.85,https://buckets3.glanacion.com/lntools/anexos/fotos/25/48925.png
