name,album,popularity,artist,genre,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Jóga,Homogenic,54,Björk,experimental vocal,1997,0.226,0.699,1,-6.327,0,0.065,0.403,5.65e-05,0.0797,0.228,145.852,audio_features,18NehrWLUFK7NPH522YQMQ,spotify:track:18NehrWLUFK7NPH522YQMQ,https://api.spotify.com/v1/tracks/18NehrWLUFK7NPH522YQMQ,https://api.spotify.com/v1/audio-analysis/18NehrWLUFK7NPH522YQMQ,305360,4
Unravel,Homogenic,48,Björk,icelandic singer-songwriter,1997,0.209,0.387,7,-9.818,1,0.0331,0.784,0,0.157,0.051,82.481,audio_features,7l3AN8XtVIdfc0yxmoQ1Xg,spotify:track:7l3AN8XtVIdfc0yxmoQ1Xg,https://api.spotify.com/v1/tracks/7l3AN8XtVIdfc0yxmoQ1Xg,https://api.spotify.com/v1/audio-analysis/7l3AN8XtVIdfc0yxmoQ1Xg,201800,3
Bachelorette,Homogenic,52,Björk,electronica,1997,0.46,0.912,0,-4.353,0,0.0694,0.0556,8.52e-06,0.105,0.34,96.957,audio_features,30j9ij28SJum1lp740MsHS,spotify:track:30j9ij28SJum1lp740MsHS,https://api.spotify.com/v1/tracks/30j9ij28SJum1lp740MsHS,https://api.spotify.com/v1/audio-analysis/30j9ij28SJum1lp740MsHS,312667,4
All Neon Like,Homogenic,41,Björk,art pop,1997,0.538,0.52,0,-10.178,0,0.0339,0.587,0.0103,0.0678,0.245,152.112,audio_features,3hVisMsgv2FPCcJgU5xheK,spotify:track:3hVisMsgv2FPCcJgU5xheK,https://api.spotify.com/v1/tracks/3hVisMsgv2FPCcJgU5xheK,https://api.spotify.com/v1/audio-analysis/3hVisMsgv2FPCcJgU5xheK,353267,4
5 Years,Homogenic,41,Björk,permanent wave,1997,0.453,0.898,5,-5.974,1,0.371,0.159,0.0184,0.284,0.494,83.007,audio_features,4xIDL0NQRTpyqBkK0Mprzs,spotify:track:4xIDL0NQRTpyqBkK0Mprzs,https://api.spotify.com/v1/tracks/4xIDL0NQRTpyqBkK0Mprzs,https://api.spotify.com/v1/audio-analysis/4xIDL0NQRTpyqBkK0Mprzs,269067,4
Immature - Mark Bell's Version,Homogenic,42,Björk,art pop,1997,0.413,0.768,6,-7.217,0,0.0412,0.368,0.0021,0.0977,0.105,187.965,audio_features,07GGbKqM9rBCv8sGFwpp3Q,spotify:track:07GGbKqM9rBCv8sGFwpp3Q,https://api.spotify.com/v1/tracks/07GGbKqM9rBCv8sGFwpp3Q,https://api.spotify.com/v1/audio-analysis/07GGbKqM9rBCv8sGFwpp3Q,186267,4
Alarm Call,Homogenic,41,Björk,metropopolis,1997,0.654,0.878,5,-5.115,0,0.0629,0.27,2.14e-06,0.0882,0.644,97.065,audio_features,1OHaVMTQJw8qvDMYEybomF,spotify:track:1OHaVMTQJw8qvDMYEybomF,https://api.spotify.com/v1/tracks/1OHaVMTQJw8qvDMYEybomF,https://api.spotify.com/v1/audio-analysis/1OHaVMTQJw8qvDMYEybomF,259773,4
Pluto,Homogenic,47,Björk,trip hop,1997,0.62,0.829,8,-4.575,1,0.186,0.00271,0.402,0.0807,0.299,148.015,audio_features,6aJIbT3rh6jF9xqM2hBLel,spotify:track:6aJIbT3rh6jF9xqM2hBLel,https://api.spotify.com/v1/tracks/6aJIbT3rh6jF9xqM2hBLel,https://api.spotify.com/v1/audio-analysis/6aJIbT3rh6jF9xqM2hBLel,199293,4
All Is Full Of Love - Howie's Version,Homogenic,41,Björk,art pop,1997,0.143,0.307,11,-9.406,1,0.0372,0.0637,3.29e-05,0.122,0.0362,139.082,audio_features,20s1p3zAFfOXtcsdrhzY6U,spotify:track:20s1p3zAFfOXtcsdrhzY6U,https://api.spotify.com/v1/tracks/20s1p3zAFfOXtcsdrhzY6U,https://api.spotify.com/v1/audio-analysis/20s1p3zAFfOXtcsdrhzY6U,273107,5
Hidden Place,Vespertine,50,Björk,icelandic experimental,2001,0.454,0.787,9,-10.362,0,0.177,0.0514,0.00391,0.112,0.432,149.873,audio_features,4c6LgotpKGB791EsNeu9gr,spotify:track:4c6LgotpKGB791EsNeu9gr,https://api.spotify.com/v1/tracks/4c6LgotpKGB791EsNeu9gr,https://api.spotify.com/v1/audio-analysis/4c6LgotpKGB791EsNeu9gr,329360,4
Cocoon,Vespertine,47,Björk,icelandic singer-songwriter,2001,0.787,0.373,1,-14.895,1,0.0519,0.648,0.137,0.108,0.117,127.87,audio_features,46qr02ktTNzOwJAqiQg8gv,spotify:track:46qr02ktTNzOwJAqiQg8gv,https://api.spotify.com/v1/tracks/46qr02ktTNzOwJAqiQg8gv,https://api.spotify.com/v1/audio-analysis/46qr02ktTNzOwJAqiQg8gv,268107,4
It's Not Up To You,Vespertine,46,Björk,permanent wave,2001,0.556,0.439,1,-12.404,0,0.0566,0.583,0.000236,0.0589,0.316,79.93,audio_features,5BQ7QRKTkw2qhN2bq0rZW7,spotify:track:5BQ7QRKTkw2qhN2bq0rZW7,https://api.spotify.com/v1/tracks/5BQ7QRKTkw2qhN2bq0rZW7,https://api.spotify.com/v1/audio-analysis/5BQ7QRKTkw2qhN2bq0rZW7,308960,4
Undo,Vespertine,43,Björk,experimental pop,2001,0.351,0.365,5,-11.891,1,0.0365,0.779,0.00798,0.114,0.0581,115.909,audio_features,0lhuD47gUUYuBNnYCrVGh9,spotify:track:0lhuD47gUUYuBNnYCrVGh9,https://api.spotify.com/v1/tracks/0lhuD47gUUYuBNnYCrVGh9,https://api.spotify.com/v1/audio-analysis/0lhuD47gUUYuBNnYCrVGh9,338400,4
Pagan Poetry,Vespertine,52,Björk,icelandic experimental,2001,0.52,0.458,9,-8.234,1,0.0297,0.509,8.04e-06,0.086,0.169,131.968,audio_features,3Te7GWFEecCGPpkWVTjJ1h,spotify:track:3Te7GWFEecCGPpkWVTjJ1h,https://api.spotify.com/v1/tracks/3Te7GWFEecCGPpkWVTjJ1h,https://api.spotify.com/v1/audio-analysis/3Te7GWFEecCGPpkWVTjJ1h,314867,4
Frosti,Vespertine,47,Björk,icelandic singer-songwriter,2001,0.44,0.355,6,-12.814,1,0.0348,0.641,0.00495,0.302,0.153,147.996,audio_features,7pLQIIweYDsmfwgf5xaGrq,spotify:track:7pLQIIweYDsmfwgf5xaGrq,https://api.spotify.com/v1/tracks/7pLQIIweYDsmfwgf5xaGrq,https://api.spotify.com/v1/audio-analysis/7pLQIIweYDsmfwgf5xaGrq,101507,4
Aurora,Vespertine,42,Björk,experimental pop,2001,0.569,0.577,9,-8.349,0,0.0344,0.376,2.84e-05,0.0803,0.255,119.994,audio_features,6yIu9fRhK5VT7NulG70Sh4,spotify:track:6yIu9fRhK5VT7NulG70Sh4,https://api.spotify.com/v1/tracks/6yIu9fRhK5VT7NulG70Sh4,https://api.spotify.com/v1/audio-analysis/6yIu9fRhK5VT7NulG70Sh4,279227,4
An Echo A Stain,Vespertine,39,Björk,permanent wave,2001,0.532,0.512,2,-13.318,1,0.0609,0.585,0.175,0.0973,0.0767,127.954,audio_features,1oEHZmIK6pkg3m1lrglkhT,spotify:track:1oEHZmIK6pkg3m1lrglkhT,https://api.spotify.com/v1/tracks/1oEHZmIK6pkg3m1lrglkhT,https://api.spotify.com/v1/audio-analysis/1oEHZmIK6pkg3m1lrglkhT,244467,4
Sun In My Mouth,Vespertine,42,Björk,experimental pop,2001,0.215,0.281,10,-11.011,0,0.0295,0.745,1.16e-05,0.0793,0.159,98.369,audio_features,3EjTqXJF3xuaEYplpcPQYw,spotify:track:3EjTqXJF3xuaEYplpcPQYw,https://api.spotify.com/v1/tracks/3EjTqXJF3xuaEYplpcPQYw,https://api.spotify.com/v1/audio-analysis/3EjTqXJF3xuaEYplpcPQYw,160200,4
